filename,flower_type,features
10091895024_a2ea04cda6_c.jpg,astilbe,[62 62 60 ... 56 64 54]
1033455028_f0c6518ec9_c.jpg,astilbe,[46 66 60 ... 35 34 41]
10373087134_927b53fb9f_c.jpg,astilbe,[23 22 21 ... 50 17 38]
1052212431_4963309d03_c.jpg,astilbe,[ 51  79  31 ...  96 140  29]
1052219251_d03970e956_c.jpg,astilbe,[143 188  90 ... 109 150  52]
1052586928_366c5255b8_c.jpg,astilbe,[21 30 22 ... 44 42 36]
1052587144_34c9f0714c_c.jpg,astilbe,[16 21 13 ... 37 69 38]
1053073526_188a5b816e_c.jpg,astilbe,[ 97 146  89 ...  47  94  29]
1053075100_838051e5b7_c.jpg,astilbe,[154 145 128 ... 190 180 179]
1053079170_650c3c6af6_c.jpg,astilbe,[70 87 30 ... 65 82 32]
1053080414_1edf92651d_c.jpg,astilbe,[ 80 120 120 ...  52 127  38]
1074784463_46a8df182c_c.jpg,astilbe,[153  44  46 ...  99  49  29]
11018294886_306c3ce9db_c.jpg,astilbe,[43 31 19 ...  4  5  0]
1114112634_a74a2d9718_c.jpg,astilbe,[3 3 3 ... 3 3 3]
1126428236_a39cc4f40c_c.jpg,astilbe,[111 168 140 ...  75 124  79]
1187514219_6aa8002901_c.jpg,astilbe,[54 74 36 ... 61 81 47]
121833397_0139a4bf24_c.jpg,astilbe,[ 0  0  0 ... 14 15  9]
1311687757_92d263cf74_c.jpg,astilbe,[ 0  0  0 ... 28 39 16]
1343712578_6357baf6fa_c.jpg,astilbe,[117 126  54 ...  51  82   6]
14160356314_4f63e3e5fa_c.jpg,astilbe,[ 40  48  26 ... 134  16  12]
14206032168_673f1ccf80_c.jpg,astilbe,[37 36 34 ... 60 51 52]
14342572710_c96900a75b_c.jpg,astilbe,[ 21  25  26 ... 134  67 105]
14342606979_0dae7fa598_c.jpg,astilbe,[  2  24   4 ...  93 155  76]
14342611079_9034be04fd_c.jpg,astilbe,[34 96 96 ... 29 85 32]
14342758267_5f39de515e_c.jpg,astilbe,[  6  57  36 ... 100 191 168]
14342765107_ee1c6211e4_c.jpg,astilbe,[23 59 17 ... 80 97 47]
14365630848_14fe8a2676_c.jpg,astilbe,[ 30  48  31 ... 100 119  79]
14373194229_0aa435a43f_c.jpg,astilbe,[ 86 127  48 ...  27  78  12]
14375957730_87938d973c_c.jpg,astilbe,[186 187 181 ...  45  33  21]
143797170_05482613ac_c.jpg,astilbe,[152 182 203 ...  54  77  84]
14391599934_1c14b12361_c.jpg,astilbe,[33 43 37 ... 29 63 22]
14399713267_84b94622ed_c.jpg,astilbe,[228 236 225 ... 188 201 170]
